f_img_in,best_score,f_img_out,faces_detected,subdetector_match
videos/guy2girl2/out/0145.png,,image_processed/videos/guy2girl2/out/0145.png,0,
videos/guy2girl2/out/0146.png,,image_processed/videos/guy2girl2/out/0146.png,0,
videos/guy2girl2/out/0147.png,,image_processed/videos/guy2girl2/out/0147.png,0,
videos/guy2girl2/out/0148.png,,image_processed/videos/guy2girl2/out/0148.png,0,
videos/guy2girl2/out/0149.png,,image_processed/videos/guy2girl2/out/0149.png,0,
videos/guy2girl2/out/0150.png,1.03561193128,image_processed/videos/guy2girl2/out/0150.png,1,0.0
videos/guy2girl2/out/0151.png,1.02645093579,image_processed/videos/guy2girl2/out/0151.png,1,0.0
videos/guy2girl2/out/0152.png,1.19029266019,image_processed/videos/guy2girl2/out/0152.png,1,0.0
videos/guy2girl2/out/0153.png,1.33796006818,image_processed/videos/guy2girl2/out/0153.png,1,0.0
videos/guy2girl2/out/0154.png,1.17685968061,image_processed/videos/guy2girl2/out/0154.png,1,0.0
videos/guy2girl2/out/0155.png,0.967469517185,image_processed/videos/guy2girl2/out/0155.png,1,0.0
videos/guy2girl2/out/0156.png,1.11198935853,image_processed/videos/guy2girl2/out/0156.png,1,2.0
videos/guy2girl2/out/0157.png,1.01928649293,image_processed/videos/guy2girl2/out/0157.png,1,2.0
videos/guy2girl2/out/0158.png,1.84226451265,image_processed/videos/guy2girl2/out/0158.png,1,2.0
videos/guy2girl2/out/0159.png,1.90551314699,image_processed/videos/guy2girl2/out/0159.png,1,2.0
videos/guy2girl2/out/0160.png,1.97326264726,image_processed/videos/guy2girl2/out/0160.png,1,2.0
videos/guy2girl2/out/0161.png,1.00148183484,image_processed/videos/guy2girl2/out/0161.png,1,0.0
videos/guy2girl2/out/0162.png,0.988130394412,image_processed/videos/guy2girl2/out/0162.png,1,0.0
videos/guy2girl2/out/0163.png,0.853203598453,image_processed/videos/guy2girl2/out/0163.png,1,0.0
videos/guy2girl2/out/0164.png,0.531979624225,image_processed/videos/guy2girl2/out/0164.png,1,0.0
videos/guy2girl2/out/0165.png,0.66828805585,image_processed/videos/guy2girl2/out/0165.png,1,0.0
videos/guy2girl2/out/0166.png,0.884601417972,image_processed/videos/guy2girl2/out/0166.png,1,0.0
videos/guy2girl2/out/0167.png,0.39415771146,image_processed/videos/guy2girl2/out/0167.png,1,0.0
videos/guy2girl2/out/0168.png,0.793269459201,image_processed/videos/guy2girl2/out/0168.png,1,0.0
videos/guy2girl2/out/0169.png,0.0535391010774,image_processed/videos/guy2girl2/out/0169.png,1,0.0
videos/guy2girl2/out/0170.png,0.203866068317,image_processed/videos/guy2girl2/out/0170.png,1,0.0
videos/guy2girl2/out/0171.png,0.230735126926,image_processed/videos/guy2girl2/out/0171.png,1,0.0
videos/guy2girl2/out/0172.png,0.412692610217,image_processed/videos/guy2girl2/out/0172.png,1,0.0
videos/guy2girl2/out/0173.png,0.332419697238,image_processed/videos/guy2girl2/out/0173.png,1,0.0
videos/guy2girl2/out/0174.png,0.454216066791,image_processed/videos/guy2girl2/out/0174.png,1,0.0
videos/guy2girl2/out/0175.png,0.316310707523,image_processed/videos/guy2girl2/out/0175.png,1,0.0
videos/guy2girl2/out/0176.png,0.233553472949,image_processed/videos/guy2girl2/out/0176.png,1,0.0
videos/guy2girl2/out/0177.png,0.0136862434877,image_processed/videos/guy2girl2/out/0177.png,1,0.0
videos/guy2girl2/out/0178.png,,image_processed/videos/guy2girl2/out/0178.png,0,
videos/guy2girl2/out/0179.png,,image_processed/videos/guy2girl2/out/0179.png,0,
videos/guy2girl2/out/0180.png,0.0794668831362,image_processed/videos/guy2girl2/out/0180.png,1,0.0
videos/guy2girl2/out/0181.png,,image_processed/videos/guy2girl2/out/0181.png,0,
videos/guy2girl2/out/0182.png,,image_processed/videos/guy2girl2/out/0182.png,0,
videos/guy2girl2/out/0183.png,,image_processed/videos/guy2girl2/out/0183.png,0,
videos/guy2girl2/out/0184.png,,image_processed/videos/guy2girl2/out/0184.png,0,
videos/guy2girl2/out/0185.png,0.166241947605,image_processed/videos/guy2girl2/out/0185.png,1,0.0
videos/guy2girl2/out/0186.png,0.541581455661,image_processed/videos/guy2girl2/out/0186.png,1,0.0
videos/guy2girl2/out/0187.png,0.74330550809,image_processed/videos/guy2girl2/out/0187.png,1,0.0
videos/guy2girl2/out/0188.png,0.711451832248,image_processed/videos/guy2girl2/out/0188.png,1,0.0
videos/guy2girl2/out/0189.png,0.541679684116,image_processed/videos/guy2girl2/out/0189.png,1,0.0
videos/guy2girl2/out/0190.png,0.47192559587,image_processed/videos/guy2girl2/out/0190.png,1,2.0
videos/guy2girl2/out/0191.png,0.0480435528292,image_processed/videos/guy2girl2/out/0191.png,1,0.0
videos/guy2girl2/out/0192.png,0.10614377637,image_processed/videos/guy2girl2/out/0192.png,1,0.0
videos/guy2girl2/out/0193.png,0.357111755802,image_processed/videos/guy2girl2/out/0193.png,1,0.0
videos/guy2girl2/out/0194.png,0.396370235874,image_processed/videos/guy2girl2/out/0194.png,1,0.0
videos/guy2girl2/out/0195.png,,image_processed/videos/guy2girl2/out/0195.png,0,
videos/guy2girl2/out/0196.png,0.694644991351,image_processed/videos/guy2girl2/out/0196.png,1,0.0
videos/guy2girl2/out/0197.png,0.912609878971,image_processed/videos/guy2girl2/out/0197.png,1,0.0
videos/guy2girl2/out/0198.png,0.845948997928,image_processed/videos/guy2girl2/out/0198.png,1,0.0
videos/guy2girl2/out/0199.png,0.708138052417,image_processed/videos/guy2girl2/out/0199.png,1,0.0
videos/guy2girl2/out/0200.png,0.132965389682,image_processed/videos/guy2girl2/out/0200.png,1,0.0
videos/guy2girl2/out/0201.png,0.0373590626253,image_processed/videos/guy2girl2/out/0201.png,1,0.0
videos/guy2girl2/out/0202.png,0.313998524143,image_processed/videos/guy2girl2/out/0202.png,1,0.0
videos/guy2girl2/out/0203.png,0.364265982105,image_processed/videos/guy2girl2/out/0203.png,1,0.0
videos/guy2girl2/out/0204.png,0.329382721378,image_processed/videos/guy2girl2/out/0204.png,1,0.0
videos/guy2girl2/out/0205.png,0.441230360462,image_processed/videos/guy2girl2/out/0205.png,1,0.0
videos/guy2girl2/out/0206.png,0.563325468494,image_processed/videos/guy2girl2/out/0206.png,1,0.0
videos/guy2girl2/out/0207.png,0.428153101398,image_processed/videos/guy2girl2/out/0207.png,1,0.0
videos/guy2girl2/out/0208.png,0.626727644397,image_processed/videos/guy2girl2/out/0208.png,1,0.0
videos/guy2girl2/out/0209.png,0.606156889392,image_processed/videos/guy2girl2/out/0209.png,1,0.0
videos/guy2girl2/out/0210.png,0.681278530551,image_processed/videos/guy2girl2/out/0210.png,1,0.0
videos/guy2girl2/out/0211.png,0.414990250064,image_processed/videos/guy2girl2/out/0211.png,1,0.0
videos/guy2girl2/out/0212.png,0.69846922536,image_processed/videos/guy2girl2/out/0212.png,1,0.0
videos/guy2girl2/out/0213.png,0.807003799869,image_processed/videos/guy2girl2/out/0213.png,1,0.0
videos/guy2girl2/out/0214.png,0.842201534702,image_processed/videos/guy2girl2/out/0214.png,1,0.0
videos/guy2girl2/out/0215.png,0.729986492587,image_processed/videos/guy2girl2/out/0215.png,1,0.0
videos/guy2girl2/out/0216.png,0.9314549603,image_processed/videos/guy2girl2/out/0216.png,1,0.0
videos/guy2girl2/out/0217.png,0.666968885852,image_processed/videos/guy2girl2/out/0217.png,1,0.0
videos/guy2girl2/out/0218.png,,image_processed/videos/guy2girl2/out/0218.png,0,
videos/guy2girl2/out/0219.png,,image_processed/videos/guy2girl2/out/0219.png,0,
videos/guy2girl2/out/0220.png,0.412601331343,image_processed/videos/guy2girl2/out/0220.png,1,2.0
videos/guy2girl2/out/0221.png,0.968909124007,image_processed/videos/guy2girl2/out/0221.png,1,2.0
videos/guy2girl2/out/0222.png,0.490704361392,image_processed/videos/guy2girl2/out/0222.png,1,0.0
videos/guy2girl2/out/0223.png,0.622350517703,image_processed/videos/guy2girl2/out/0223.png,1,0.0
videos/guy2girl2/out/0224.png,0.419938150836,image_processed/videos/guy2girl2/out/0224.png,1,0.0
videos/guy2girl2/out/0225.png,0.541512075855,image_processed/videos/guy2girl2/out/0225.png,1,0.0
videos/guy2girl2/out/0226.png,0.822237316562,image_processed/videos/guy2girl2/out/0226.png,1,0.0
videos/guy2girl2/out/0227.png,1.33019004213,image_processed/videos/guy2girl2/out/0227.png,1,2.0
videos/guy2girl2/out/0228.png,0.375622335864,image_processed/videos/guy2girl2/out/0228.png,1,0.0
videos/guy2girl2/out/0229.png,0.378268305255,image_processed/videos/guy2girl2/out/0229.png,1,0.0
videos/guy2girl2/out/0230.png,0.353344503833,image_processed/videos/guy2girl2/out/0230.png,1,0.0
videos/guy2girl2/out/0231.png,0.00112110753192,image_processed/videos/guy2girl2/out/0231.png,1,0.0
videos/guy2girl2/out/0232.png,,image_processed/videos/guy2girl2/out/0232.png,0,
videos/guy2girl2/out/0233.png,,image_processed/videos/guy2girl2/out/0233.png,0,
videos/guy2girl2/out/0234.png,0.0611174740328,image_processed/videos/guy2girl2/out/0234.png,1,0.0
videos/guy2girl2/out/0235.png,0.587691370441,image_processed/videos/guy2girl2/out/0235.png,1,0.0
videos/guy2girl2/out/0236.png,0.745117966129,image_processed/videos/guy2girl2/out/0236.png,1,0.0
videos/guy2girl2/out/0237.png,,image_processed/videos/guy2girl2/out/0237.png,0,
videos/guy2girl2/out/0238.png,,image_processed/videos/guy2girl2/out/0238.png,0,
videos/guy2girl2/out/0239.png,,image_processed/videos/guy2girl2/out/0239.png,0,
videos/guy2girl2/out/0240.png,,image_processed/videos/guy2girl2/out/0240.png,0,
videos/guy2girl2/out/0241.png,,image_processed/videos/guy2girl2/out/0241.png,0,
videos/guy2girl2/out/0242.png,0.336567465259,image_processed/videos/guy2girl2/out/0242.png,1,0.0
videos/guy2girl2/out/0243.png,0.33784252782,image_processed/videos/guy2girl2/out/0243.png,1,0.0
videos/guy2girl2/out/0244.png,0.242523256732,image_processed/videos/guy2girl2/out/0244.png,1,0.0
videos/guy2girl2/out/0245.png,,image_processed/videos/guy2girl2/out/0245.png,0,
videos/guy2girl2/out/0246.png,0.11136728902,image_processed/videos/guy2girl2/out/0246.png,1,0.0
videos/guy2girl2/out/0247.png,0.24516135831,image_processed/videos/guy2girl2/out/0247.png,1,0.0
videos/guy2girl2/out/0248.png,,image_processed/videos/guy2girl2/out/0248.png,0,
videos/guy2girl2/out/0249.png,,image_processed/videos/guy2girl2/out/0249.png,0,
videos/guy2girl2/out/0250.png,,image_processed/videos/guy2girl2/out/0250.png,0,
videos/guy2girl2/out/0251.png,,image_processed/videos/guy2girl2/out/0251.png,0,
videos/guy2girl2/out/0252.png,,image_processed/videos/guy2girl2/out/0252.png,0,
videos/guy2girl2/out/0253.png,,image_processed/videos/guy2girl2/out/0253.png,0,
videos/guy2girl2/out/0254.png,0.0192824043764,image_processed/videos/guy2girl2/out/0254.png,1,0.0
videos/guy2girl2/out/0255.png,0.0812020935549,image_processed/videos/guy2girl2/out/0255.png,1,0.0
videos/guy2girl2/out/0256.png,0.0741818584932,image_processed/videos/guy2girl2/out/0256.png,1,0.0
videos/guy2girl2/out/0257.png,,image_processed/videos/guy2girl2/out/0257.png,0,
videos/guy2girl2/out/0258.png,,image_processed/videos/guy2girl2/out/0258.png,0,
videos/guy2girl2/out/0259.png,,image_processed/videos/guy2girl2/out/0259.png,0,
videos/guy2girl2/out/0260.png,0.175726715518,image_processed/videos/guy2girl2/out/0260.png,1,0.0
videos/guy2girl2/out/0261.png,0.145542923404,image_processed/videos/guy2girl2/out/0261.png,1,0.0
videos/guy2girl2/out/0262.png,0.247556511356,image_processed/videos/guy2girl2/out/0262.png,1,0.0
videos/guy2girl2/out/0263.png,0.187491718723,image_processed/videos/guy2girl2/out/0263.png,1,0.0
videos/guy2girl2/out/0264.png,,image_processed/videos/guy2girl2/out/0264.png,0,
videos/guy2girl2/out/0265.png,,image_processed/videos/guy2girl2/out/0265.png,0,
videos/guy2girl2/out/0266.png,0.523738209201,image_processed/videos/guy2girl2/out/0266.png,1,0.0
videos/guy2girl2/out/0267.png,0.78439170499,image_processed/videos/guy2girl2/out/0267.png,1,0.0
videos/guy2girl2/out/0268.png,0.366593424274,image_processed/videos/guy2girl2/out/0268.png,1,0.0
videos/guy2girl2/out/0269.png,0.970999542667,image_processed/videos/guy2girl2/out/0269.png,1,0.0
